Date,AAPL
2000-11-17,90.3100
2000-11-20,91.3800
2000-11-21,93.1300
2000-11-22,94.2500
2000-11-24,94.4400
2000-11-27,93.1300
2000-11-28,93.0600
2000-11-29,88.9400
2000-11-30,88.0000
2000-12-01,88.8100
2000-12-04,90.6900
2000-12-05,88.3800
2000-12-06,86.2500
2000-12-07,88.0000
2000-12-08,88.5000
2000-12-11,85.7500
2000-12-12,86.5600
2000-12-13,87.6900
2000-12-14,85.5000
2000-12-15,84.1300
2000-12-18,86.3800
2000-12-19,87.1900
2000-12-20,85.1900
2000-12-21,84.7500
2000-12-22,86.8100
2000-12-26,88.5600
2000-12-27,87.7500
2000-12-28,86.8800
2000-12-29,86.9400
2001-01-02,89.1300
2001-01-03,85.2500
2001-01-04,82.8800
2001-01-05,83.2500
2001-01-08,82.8800
2001-01-09,82.0000
2001-01-10,81.0000
2001-01-11,81.7500
2001-01-12,82.8100
2001-01-16,81.8100
2001-01-17,80.2500
2001-01-18,79.1300
2001-01-19,79.4400
2001-01-22,80.2500
2001-01-23,81.8100
2001-01-24,81.6300
2001-01-25,82.5000
2001-01-26,81.0000
2001-01-29,80.2000
2001-01-30,81.9800
2001-01-31,84.1500
2001-02-01,83.4900
2001-02-02,82.9900
2001-02-05,84.8000
2001-02-06,84.3400
2001-02-07,84.3600
2001-02-08,84.5000
2001-02-09,85.8600
2001-02-12,85.7600
2001-02-13,84.7900
2001-02-14,83.9300
2001-02-15,82.5000
2001-02-16,84.0200
2001-02-20,83.8000
2001-02-21,83.5200
2001-02-22,84.2100
2001-02-23,83.5000
2001-02-26,83.8000
2001-02-27,82.3000
2001-02-28,81.0500
2001-03-01,81.4000
2001-03-02,83.2100
2001-03-05,83.8500
2001-03-06,83.6000
2001-03-07,84.2100
2001-03-08,85.8500
2001-03-09,85.9900
2001-03-12,83.7600
2001-03-13,83.3000
2001-03-14,82.6400
2001-03-15,82.9500
2001-03-16,81.7000
2001-03-19,81.2600
2001-03-20,80.6600
2001-03-21,79.8100
2001-03-22,77.7000
2001-03-23,76.9000
2001-03-26,78.2500
2001-03-27,80.6400
2001-03-28,78.6500
2001-03-29,78.2900
2001-03-30,81.0000
2001-04-02,79.6000
2001-04-03,77.9000
2001-04-04,78.7000
2001-04-05,80.9300
2001-04-06,82.1000
2001-04-09,82.5100
2001-04-10,84.0000
2001-04-11,81.9400
2001-04-12,82.0000
2001-04-16,84.5500
2001-04-17,84.7100
2001-04-18,85.1300
2001-04-19,84.4500
2001-04-20,85.1700
2001-04-23,88.0000
2001-04-24,87.4900
2001-04-25,89.0900
2001-04-26,88.8500
2001-04-27,89.0600
2001-04-30,88.6000
2001-05-01,88.8000
2001-05-02,86.5000
2001-05-03,86.1000
2001-05-04,87.5500
2001-05-07,88.1900
2001-05-08,88.7400
2001-05-09,89.7200
2001-05-10,88.1000
2001-05-11,87.6400
2001-05-14,89.0600
2001-05-15,89.4500
2001-05-16,89.5000
2001-05-17,88.7300
2001-05-18,90.2000
2001-05-21,88.7500
2001-05-22,88.8100
2001-05-23,87.2700
2001-05-24,87.9300
2001-05-25,88.1000
2001-05-29,87.8000
2001-05-30,88.8700
2001-05-31,88.7500
2001-06-01,88.9500
2001-06-04,90.8300
2001-06-05,91.5500
2001-06-06,89.4000
2001-06-07,89.1800
2001-06-08,89.3900
2001-06-11,89.7000
2001-06-12,90.1200
2001-06-13,89.9800
2001-06-14,88.8500
2001-06-15,88.9000
2001-06-18,88.5000
2001-06-19,88.3700
2001-06-20,87.7300
2001-06-21,88.4100
2001-06-22,88.9100
2001-06-25,88.5200
2001-06-26,88.5600
2001-06-27,87.2200
2001-06-28,86.8200
2001-06-29,87.3500
2001-07-02,87.7000
2001-07-03,87.3400
2001-07-05,87.0000
2001-07-06,86.8000
2001-07-09,86.7200
2001-07-10,85.7600
2001-07-11,84.9500
2001-07-12,85.4500
2001-07-13,85.9800
2001-07-16,85.9900
2001-07-17,85.3000
2001-07-18,84.2500
2001-07-19,43.0800
2001-07-20,43.3600
2001-07-23,42.5000
2001-07-24,40.9700
2001-07-25,42.1300
2001-07-26,42.7200
2001-07-27,42.7300
2001-07-30,42.4100
2001-07-31,41.7600
2001-08-01,41.6000
2001-08-02,41.7300
2001-08-03,41.2600
2001-08-06,40.8500
2001-08-07,41.3800
2001-08-08,41.2500
2001-08-09,40.9500
2001-08-10,41.3500
2001-08-13,41.4000
2001-08-14,41.1500
2001-08-15,41.5000
2001-08-16,41.2900
2001-08-17,40.4700
2001-08-20,40.7500
2001-08-21,40.3900
2001-08-22,40.7100
2001-08-23,40.8900
2001-08-24,41.7000
2001-08-27,41.0500
2001-08-28,40.5100
2001-08-29,40.3800
2001-08-30,40.1500
2001-08-31,40.1500
2001-09-04,40.7500
2001-09-05,41.2200
2001-09-06,40.9000
2001-09-07,40.9000
2001-09-10,41.2400
2001-09-17,40.1500
2001-09-18,39.4800
2001-09-19,38.4100
2001-09-20,37.0200
2001-09-21,35.8300
2001-09-24,35.8600
2001-09-25,36.2800
2001-09-26,36.0100
2001-09-27,38.4200
2001-09-28,39.4000
2001-10-01,39.0900
2001-10-02,39.9900
2001-10-03,39.8400
2001-10-04,40.5800
2001-10-05,40.6900
2001-10-08,40.9400
2001-10-09,41.0600
2001-10-10,42.2800
2001-10-11,42.0900
2001-10-12,42.2900
2001-10-15,41.6500
2001-10-16,41.7500
2001-10-17,41.4400
2001-10-18,40.4000
2001-10-19,40.5400
2001-10-22,41.1200
2001-10-23,40.8700
2001-10-24,39.8600
2001-10-25,40.5600
2001-10-26,41.0600
2001-10-29,40.6800
2001-10-30,39.4600
2001-10-31,39.4500
2001-11-01,40.4900
2001-11-02,39.7600
2001-11-05,39.3900
2001-11-06,39.4700
2001-11-07,39.0800
2001-11-08,39.5000
2001-11-09,40.2500
2001-11-12,40.0600
2001-11-13,40.5000
2001-11-14,38.7000
2001-11-15,37.1900
2001-11-16,37.5400
2001-11-19,37.0100
2001-11-20,37.9600
2001-11-21,37.8800
2001-11-23,38.4400
2001-11-26,37.7700
2001-11-27,37.3500
2001-11-28,37.1000
2001-11-29,37.4500
2001-11-30,37.4000
2001-12-03,37.6600
2001-12-04,38.3100
2001-12-05,38.8800
2001-12-06,37.3300
2001-12-07,38.0700
2001-12-10,37.5500
2001-12-11,36.8100
2001-12-12,37.4200
2001-12-13,36.4400
2001-12-14,36.8600
2001-12-17,37.4700
2001-12-18,37.5500
2001-12-19,38.3500
2001-12-20,38.3000
2001-12-21,38.5000
2001-12-24,39.0000
2001-12-26,39.6000
2001-12-27,39.7900
2001-12-28,39.7800
2001-12-31,39.3000
2002-01-02,39.6000
2002-01-03,39.6600
2002-01-04,40.0000
2002-01-07,39.6500
2002-01-08,39.7000
2002-01-09,39.2400
2002-01-10,39.3900
2002-01-11,38.5000
2002-01-14,38.6400
2002-01-15,39.3000
2002-01-16,38.5000
2002-01-17,38.6400
2002-01-18,38.4000
2002-01-22,38.0200
2002-01-23,38.9000
2002-01-24,38.8000
2002-01-25,39.1600
2002-01-28,38.9600
2002-01-29,37.9500
2002-01-30,38.6900
2002-01-31,39.0500
2002-02-01,39.0000
