Date,AAPL
2005-08-26,10.7400
2005-08-29,10.5100
2005-08-30,10.4800
2005-08-31,10.3400
2005-09-01,10.6400
2005-09-02,11.0300
2005-09-06,11.1100
2005-09-07,11.2100
2005-09-08,11.5900
2005-09-09,11.4900
2005-09-12,11.5700
2005-09-13,11.5700
2005-09-14,11.8200
2005-09-15,11.7600
2005-09-16,11.8800
2005-09-19,11.8900
2005-09-20,11.9000
2005-09-21,11.8700
2005-09-22,11.6500
2005-09-23,11.6400
2005-09-26,12.0000
2005-09-27,12.4100
2005-09-28,12.3100
2005-09-29,12.1000
2005-09-30,12.3300
2005-10-03,12.6800
2005-10-04,12.7200
2005-10-05,12.5700
2005-10-06,12.1300
2005-10-07,12.1900
2005-10-10,11.8200
2005-10-11,11.9900
2005-10-12,12.0100
2005-10-13,11.8100
2005-10-14,11.7900
2005-10-17,11.7400
2005-10-18,11.2500
2005-10-19,11.2500
2005-10-20,11.0500
2005-10-21,11.3400
2005-10-24,11.5100
2005-10-25,11.3400
2005-10-26,11.1000
2005-10-27,10.6900
2005-10-28,10.4400
2005-10-31,10.6400
2005-11-01,10.7300
2005-11-02,10.8800
2005-11-03,11.0300
2005-11-04,10.9300
2005-11-07,10.8600
2005-11-08,10.9900
2005-11-09,10.9500
2005-11-10,11.0800
2005-11-11,11.4000
2005-11-14,11.2900
2005-11-15,11.2600
2005-11-16,11.5200
2005-11-17,11.8100
2005-11-18,12.0900
2005-11-21,11.9700
2005-11-22,11.6700
2005-11-23,12.1300
2005-11-25,12.5000
2005-11-28,12.6300
2005-11-29,12.5600
2005-11-30,11.9400
2005-12-01,12.5000
2005-12-02,12.2300
2005-12-05,11.8900
2005-12-06,11.9300
2005-12-07,11.9800
2005-12-08,12.1800
2005-12-09,12.4800
2005-12-12,12.7300
2005-12-13,13.3400
2005-12-14,13.3400
2005-12-15,13.4000
2005-12-16,13.7900
2005-12-19,13.7100
2005-12-20,13.9300
2005-12-21,13.6900
2005-12-22,13.9900
2005-12-23,13.8400
2005-12-27,14.2700
2005-12-28,14.1200
2005-12-29,14.2500
2005-12-30,14.3700
2006-01-03,14.4900
2006-01-04,14.7000
2006-01-05,14.6200
2006-01-06,14.4900
2006-01-09,14.7500
2006-01-10,14.4800
2006-01-11,14.3300
2006-01-12,14.6000
2006-01-13,14.7700
2006-01-17,14.3200
2006-01-18,14.1027
2006-01-19,14.6900
2006-01-20,14.5900
2006-01-23,14.4300
2006-01-24,14.8600
2006-01-25,15.3900
2006-01-26,15.5200
2006-01-27,15.8500
2006-01-30,15.7100
2006-01-31,16.0600
2006-02-01,16.2400
2006-02-02,16.0000
2006-02-03,16.1000
2006-02-06,16.5100
2006-02-07,17.0300
2006-02-08,17.0000
2006-02-09,17.0600
2006-02-10,16.9000
2006-02-13,17.1900
2006-02-14,17.2200
2006-02-15,17.4200
2006-02-16,17.9400
2006-02-17,17.8200
2006-02-21,18.2100
2006-02-22,18.2400
2006-02-23,18.0600
2006-02-24,17.8500
2006-02-27,18.0200
2006-02-28,18.3300
2006-03-01,19.3800
2006-03-02,19.9800
2006-03-03,20.9900
2006-03-06,20.8601
2006-03-07,20.1000
2006-03-08,19.5600
2006-03-09,19.9500
2006-03-10,20.5300
2006-03-13,20.2400
2006-03-14,20.0800
2006-03-15,20.3500
2006-03-16,20.8500
2006-03-17,21.1300
2006-03-20,21.4600
2006-03-21,20.5000
2006-03-22,20.8500
2006-03-23,20.5035
2006-03-24,20.5500
2006-03-27,20.1700
2006-03-28,20.2000
2006-03-29,20.2500
2006-03-30,20.1000
2006-03-31,20.8400
2006-04-03,21.5000
2006-04-04,21.7300
