Date,AAPL
2004-08-19,100.3350
2004-08-20,108.3100
2004-08-23,109.4000
2004-08-24,104.8700
2004-08-25,106.0000
2004-08-26,107.9100
2004-08-27,106.1500
2004-08-30,102.0100
2004-08-31,102.3700
2004-09-01,100.2500
2004-09-02,101.5100
2004-09-03,100.0100
2004-09-07,101.5800
2004-09-08,102.3000
2004-09-09,102.3100
2004-09-10,105.3300
2004-09-13,107.5000
2004-09-14,111.4900
2004-09-15,112.0000
2004-09-16,113.9700
2004-09-17,117.4900
2004-09-20,119.3600
2004-09-21,117.8400
2004-09-22,118.3800
2004-09-23,120.8200
2004-09-24,119.8300
2004-09-27,118.2600
2004-09-28,126.8600
2004-09-29,131.0800
2004-09-30,129.6000
2004-10-01,132.5800
2004-10-04,135.0600
2004-10-05,138.3700
2004-10-06,137.0800
2004-10-07,138.8500
2004-10-08,137.7300
2004-10-11,135.2600
2004-10-12,137.4000
2004-10-13,140.9000
2004-10-14,142.0000
2004-10-15,144.1100
2004-10-18,149.1600
2004-10-19,147.9400
2004-10-20,140.4900
2004-10-21,149.3800
2004-10-22,172.4300
2004-10-25,187.4000
2004-10-26,181.8000
2004-10-27,185.9700
2004-10-28,193.3000
2004-10-29,190.6400
2004-11-01,196.0300
2004-11-02,194.8700
2004-11-03,191.6700
2004-11-04,184.7000
2004-11-05,169.3500
2004-11-08,172.5500
2004-11-09,168.7000
2004-11-10,167.8600
2004-11-11,183.0200
2004-11-12,182.0000
2004-11-15,184.8700
2004-11-16,172.5450
2004-11-17,172.5000
2004-11-18,167.5400
2004-11-19,169.4000
2004-11-22,165.1000
2004-11-23,167.5200
2004-11-24,174.7600
2004-11-26,179.3900
2004-11-29,181.0500
2004-11-30,181.9800
2004-12-01,179.9600
2004-12-02,179.4000
2004-12-03,180.4000
2004-12-06,176.2900
2004-12-07,171.4300
2004-12-08,169.9800
2004-12-09,173.4300
2004-12-10,171.6500
2004-12-13,170.4500
2004-12-14,178.6900
2004-12-15,179.7800
2004-12-16,176.4700
2004-12-17,180.0800
2004-12-20,185.0200
2004-12-21,183.7500
2004-12-22,186.3000
2004-12-23,187.9000
2004-12-27,191.9100
2004-12-28,192.7600
2004-12-29,192.9000
2004-12-30,197.6000
2004-12-31,192.7900
2005-01-03,202.7100
2005-01-04,194.5000
2005-01-05,193.5100
2005-01-06,188.5500
2005-01-07,193.8500
2005-01-10,195.0600
2005-01-11,193.5400
2005-01-12,195.3800
2005-01-13,195.3300
2005-01-14,199.9700
2005-01-18,203.9000
2005-01-19,197.3000
2005-01-20,193.9200
2005-01-21,188.2800
2005-01-24,180.7200
2005-01-25,177.1200
2005-01-26,189.2400
2005-01-27,188.0800
2005-01-28,190.3400
2005-01-31,195.6200
2005-02-01,191.9000
2005-02-02,205.9600
2005-02-03,210.8600
2005-02-04,204.3600
2005-02-07,196.0300
2005-02-08,198.6400
2005-02-09,191.5800
2005-02-10,187.9800
2005-02-11,187.4000
2005-02-14,192.9900
2005-02-15,195.2300
2005-02-16,198.4100
2005-02-17,197.9000
2005-02-18,197.9500
2005-02-22,191.3700
2005-02-23,193.9500
2005-02-24,188.8900
2005-02-25,185.8700
2005-02-28,187.9900
